departamento,candidato,votos,votos_nacionales,participacion_nacional_candidato
AMAZONAS,DE LA CALLE LOMBANA HUMBERTO,739,396151,0.1865450295468142
AMAZONAS,DUQUE MARQUEZ IVAN,7104,7617114,0.09326366915343529
AMAZONAS,FAJARDO VALDERRAMA SERGIO,2692,4602916,0.05848466493848682
AMAZONAS,MORALES HOYOS VIVIANE ALEIDA,52,36138,0.14389285516630693
AMAZONAS,PETRO URREGO GUSTAVO FRANCISCO,5931,4854831,0.12216697141465892
AMAZONAS,TRUJILLO SARMIENTO JORGE ANTONIO,87,65767,0.13228518862043276
AMAZONAS,VARGAS LLERAS GERMAN,1308,1412392,0.09260885080062758
ANTIOQUIA,DE LA CALLE LOMBANA HUMBERTO,59136,396151,14.927641227713675
ANTIOQUIA,DUQUE MARQUEZ IVAN,1375965,7617114,18.064125074142254
ANTIOQUIA,FAJARDO VALDERRAMA SERGIO,732993,4602916,15.924535663913918
ANTIOQUIA,MORALES HOYOS VIVIANE ALEIDA,4398,36138,12.170014942719574
ANTIOQUIA,PETRO URREGO GUSTAVO FRANCISCO,237206,4854831,4.885978523248286
ANTIOQUIA,TRUJILLO SARMIENTO JORGE ANTONIO,6985,65767,10.620828074870376
ANTIOQUIA,VARGAS LLERAS GERMAN,99182,1412392,7.0222714373913195
ARAUCA,DE LA CALLE LOMBANA HUMBERTO,1561,396151,0.3940416659304154
ARAUCA,DUQUE MARQUEZ IVAN,49721,7617114,0.6527537857514014
ARAUCA,FAJARDO VALDERRAMA SERGIO,12099,4602916,0.26285511184649035
ARAUCA,MORALES HOYOS VIVIANE ALEIDA,223,36138,0.617078975040124
ARAUCA,PETRO URREGO GUSTAVO FRANCISCO,17814,4854831,0.36693347307043234
ARAUCA,TRUJILLO SARMIENTO JORGE ANTONIO,331,65767,0.5032919245214165
ARAUCA,VARGAS LLERAS GERMAN,3343,1412392,0.23669066378172632
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,DE LA CALLE LOMBANA HUMBERTO,625,396151,0.1577681237709863
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,DUQUE MARQUEZ IVAN,5691,7617114,0.07471333631083898
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,FAJARDO VALDERRAMA SERGIO,2001,4602916,0.043472442251824714
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,MORALES HOYOS VIVIANE ALEIDA,31,36138,0.0857822790414522
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,PETRO URREGO GUSTAVO FRANCISCO,2361,4854831,0.04863197091721628
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,TRUJILLO SARMIENTO JORGE ANTONIO,135,65767,0.2052701202730853
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,VARGAS LLERAS GERMAN,1504,1412392,0.10648601804598157
ATLANTICO,DE LA CALLE LOMBANA HUMBERTO,16375,396151,4.133524842799841
ATLANTICO,DUQUE MARQUEZ IVAN,236291,7617114,3.1021066508916633
ATLANTICO,FAJARDO VALDERRAMA SERGIO,86335,4602916,1.875658821494896
ATLANTICO,MORALES HOYOS VIVIANE ALEIDA,1613,36138,4.463445680447175
ATLANTICO,PETRO URREGO GUSTAVO FRANCISCO,331979,4854831,6.838116507042161
ATLANTICO,TRUJILLO SARMIENTO JORGE ANTONIO,3349,65767,5.092219502181945
ATLANTICO,VARGAS LLERAS GERMAN,173129,1412392,12.257857591943313
BOGOTA DC,DE LA CALLE LOMBANA HUMBERTO,93401,396151,23.57712084533423
BOGOTA DC,DUQUE MARQUEZ IVAN,989744,7617114,12.993687635500795
BOGOTA DC,FAJARDO VALDERRAMA SERGIO,1244477,4602916,27.0367089036602
BOGOTA DC,MORALES HOYOS VIVIANE ALEIDA,5492,36138,15.19729924179534
BOGOTA DC,PETRO URREGO GUSTAVO FRANCISCO,1099955,4854831,22.656916378757572
BOGOTA DC,TRUJILLO SARMIENTO JORGE ANTONIO,10696,65767,16.263475603266077
BOGOTA DC,VARGAS LLERAS GERMAN,172684,1412392,12.226350758146463
BOLIVAR,DE LA CALLE LOMBANA HUMBERTO,10185,396151,2.5709893449719927
BOLIVAR,DUQUE MARQUEZ IVAN,258540,7617114,3.3941989052546675
BOLIVAR,FAJARDO VALDERRAMA SERGIO,55731,4602916,1.2107759515924255
BOLIVAR,MORALES HOYOS VIVIANE ALEIDA,1300,36138,3.5973213791576732
BOLIVAR,PETRO URREGO GUSTAVO FRANCISCO,242471,4854831,4.994427200452497
BOLIVAR,TRUJILLO SARMIENTO JORGE ANTONIO,2203,65767,3.3497042589748656
BOLIVAR,VARGAS LLERAS GERMAN,52686,1412392,3.730267517799591
BOYACA,DE LA CALLE LOMBANA HUMBERTO,10561,396151,2.6659026482326187
BOYACA,DUQUE MARQUEZ IVAN,227676,7617114,2.9890060723785936
BOYACA,FAJARDO VALDERRAMA SERGIO,148357,4602916,3.2231090030754417
BOYACA,MORALES HOYOS VIVIANE ALEIDA,1149,36138,3.1794786651170512
BOYACA,PETRO URREGO GUSTAVO FRANCISCO,122767,4854831,2.5287594974984713
BOYACA,TRUJILLO SARMIENTO JORGE ANTONIO,1646,65767,2.50277494792221
