departamento,ganador,segundo,votos_ganador,votos_segundo,margen_votos,margen_porcentual
AMAZONAS,DUQUE MARQUEZ IVAN,PETRO URREGO GUSTAVO FRANCISCO,7104.0,5931.0,1173.0,8.998849252013809
ANTIOQUIA,DUQUE MARQUEZ IVAN,FAJARDO VALDERRAMA SERGIO,1375965.0,732993.0,642972.0,30.487662627705248
ARAUCA,DUQUE MARQUEZ IVAN,PETRO URREGO GUSTAVO FRANCISCO,49721.0,17814.0,31907.0,47.24513215369808
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,DUQUE MARQUEZ IVAN,PETRO URREGO GUSTAVO FRANCISCO,5691.0,2361.0,3330.0,41.356184798807746
ATLANTICO,PETRO URREGO GUSTAVO FRANCISCO,DUQUE MARQUEZ IVAN,331979.0,236291.0,95688.0,16.83847466873141
BOGOTA DC,FAJARDO VALDERRAMA SERGIO,PETRO URREGO GUSTAVO FRANCISCO,1244477.0,1099955.0,144522.0,6.164478219031304
BOLIVAR,DUQUE MARQUEZ IVAN,PETRO URREGO GUSTAVO FRANCISCO,258540.0,242471.0,16069.0,3.2073148094552812
BOYACA,DUQUE MARQUEZ IVAN,FAJARDO VALDERRAMA SERGIO,227676.0,148357.0,79319.0,21.093627420997628
CALDAS,DUQUE MARQUEZ IVAN,FAJARDO VALDERRAMA SERGIO,191910.0,162448.0,29462.0,8.314190733664825
CAQUETA,DUQUE MARQUEZ IVAN,PETRO URREGO GUSTAVO FRANCISCO,68250.0,30003.0,38247.0,38.927055662422525
CASANARE,DUQUE MARQUEZ IVAN,FAJARDO VALDERRAMA SERGIO,108270.0,38222.0,70048.0,47.81694563525653
CAUCA,PETRO URREGO GUSTAVO FRANCISCO,DUQUE MARQUEZ IVAN,231470.0,107367.0,124103.0,36.62616538335542
CESAR,DUQUE MARQUEZ IVAN,PETRO URREGO GUSTAVO FRANCISCO,172860.0,141067.0,31793.0,10.12751372134286
CHOCO,PETRO URREGO GUSTAVO FRANCISCO,DUQUE MARQUEZ IVAN,49966.0,30119.0,19847.0,24.782418680152336
CONSULADOS,DUQUE MARQUEZ IVAN,FAJARDO VALDERRAMA SERGIO,152276.0,73819.0,78457.0,34.700900064132334
CORDOBA,PETRO URREGO GUSTAVO FRANCISCO,DUQUE MARQUEZ IVAN,250437.0,229234.0,21203.0,4.420321428645884
CUNDINAMARCA,DUQUE MARQUEZ IVAN,FAJARDO VALDERRAMA SERGIO,479936.0,329857.0,150079.0,18.533007818047327
GUAINIA,DUQUE MARQUEZ IVAN,PETRO URREGO GUSTAVO FRANCISCO,3906.0,2126.0,1780.0,29.509283819628646
GUAVIARE,DUQUE MARQUEZ IVAN,PETRO URREGO GUSTAVO FRANCISCO,11488.0,5762.0,5726.0,33.19420289855072
HUILA,DUQUE MARQUEZ IVAN,PETRO URREGO GUSTAVO FRANCISCO,241612.0,95435.0,146177.0,43.369915768423986
LA GUAJIRA,PETRO URREGO GUSTAVO FRANCISCO,DUQUE MARQUEZ IVAN,85523.0,76549.0,8974.0,5.537045263833358
MAGDALENA,DUQUE MARQUEZ IVAN,PETRO URREGO GUSTAVO FRANCISCO,161863.0,142945.0,18918.0,6.206530012335635
META,DUQUE MARQUEZ IVAN,FAJARDO VALDERRAMA SERGIO,212158.0,102329.0,109829.0,34.92322417142839
NARINO,PETRO URREGO GUSTAVO FRANCISCO,DUQUE MARQUEZ IVAN,239124.0,135095.0,104029.0,27.798962639523918
NORTE DE SANTANDER,DUQUE MARQUEZ IVAN,FAJARDO VALDERRAMA SERGIO,378192.0,102376.0,275816.0,57.39375072830484
PUTUMAYO,PETRO URREGO GUSTAVO FRANCISCO,DUQUE MARQUEZ IVAN,60683.0,23387.0,37296.0,44.36303080766028
QUINDIO,DUQUE MARQUEZ IVAN,FAJARDO VALDERRAMA SERGIO,109631.0,98078.0,11553.0,5.562108526833214
RISARALDA,DUQUE MARQUEZ IVAN,FAJARDO VALDERRAMA SERGIO,177523.0,165882.0,11641.0,3.389874929019671
SANTANDER,DUQUE MARQUEZ IVAN,FAJARDO VALDERRAMA SERGIO,442219.0,271244.0,170975.0,23.964101852513725
SUCRE,PETRO URREGO GUSTAVO FRANCISCO,DUQUE MARQUEZ IVAN,154801.0,129976.0,24825.0,8.717347257678815
TOLIMA,DUQUE MARQUEZ IVAN,FAJARDO VALDERRAMA SERGIO,285470.0,118385.0,167085.0,41.372522316177836
VALLE DEL CAUCA,DUQUE MARQUEZ IVAN,FAJARDO VALDERRAMA SERGIO,527622.0,502367.0,25255.0,2.451967933638126
VAUPES,PETRO URREGO GUSTAVO FRANCISCO,VARGAS LLERAS GERMAN,2514.0,1359.0,1155.0,29.821843532145625
VICHADA,DUQUE MARQUEZ IVAN,PETRO URREGO GUSTAVO FRANCISCO,8456.0,3243.0,5213.0,44.55936404820925
