departamento,municipio,ganador,segundo,votos_ganador,votos_segundo,porcentaje_ganador,porcentaje_segundo,total_votos_candidatos,margen_votos,margen_porcentual
AMAZONAS,EL ENCANTO,PETRO URREGO GUSTAVO FRANCISCO,DUQUE MARQUEZ IVAN,190.0,50.0,62.70627062706271,16.5016501650165,303.0,140.0,46.20462046204621
AMAZONAS,LA CHORRERA,PETRO URREGO GUSTAVO FRANCISCO,DUQUE MARQUEZ IVAN,470.0,44.0,84.68468468468468,7.927927927927928,555.0,426.0,76.75675675675676
AMAZONAS,LA PEDRERA,PETRO URREGO GUSTAVO FRANCISCO,VARGAS LLERAS GERMAN,150.0,29.0,65.50218340611353,12.663755458515283,229.0,121.0,52.83842794759825
AMAZONAS,LA VICTORIA,PETRO URREGO GUSTAVO FRANCISCO,DUQUE MARQUEZ IVAN,14.0,2.0,77.77777777777779,11.11111111111111,18.0,12.0,66.66666666666667
AMAZONAS,LETICIA,DUQUE MARQUEZ IVAN,PETRO URREGO GUSTAVO FRANCISCO,6144.0,3821.0,43.50350492105077,27.055158252495932,14123.0,2323.0,16.448346668554837
AMAZONAS,MIRITI  PARANA,PETRO URREGO GUSTAVO FRANCISCO,DE LA CALLE LOMBANA HUMBERTO,59.0,7.0,76.62337662337663,9.090909090909092,77.0,52.0,67.53246753246754
AMAZONAS,PUERTO ALEGRIA,DUQUE MARQUEZ IVAN,PETRO URREGO GUSTAVO FRANCISCO,34.0,31.0,46.57534246575342,42.465753424657535,73.0,3.0,4.109589041095887
AMAZONAS,PUERTO ARICA,PETRO URREGO GUSTAVO FRANCISCO,DUQUE MARQUEZ IVAN,98.0,32.0,67.12328767123287,21.91780821917808,146.0,66.0,45.20547945205479
AMAZONAS,PUERTO NARINO,PETRO URREGO GUSTAVO FRANCISCO,DUQUE MARQUEZ IVAN,839.0,651.0,44.89031567683253,34.831460674157306,1869.0,188.0,10.058855002675223
AMAZONAS,PUERTO SANTANDER,PETRO URREGO GUSTAVO FRANCISCO,VARGAS LLERAS GERMAN,85.0,47.0,51.515151515151516,28.484848484848484,165.0,38.0,23.03030303030303
AMAZONAS,TARAPACA,PETRO URREGO GUSTAVO FRANCISCO,DUQUE MARQUEZ IVAN,174.0,95.0,49.014084507042256,26.76056338028169,355.0,79.0,22.253521126760567
ANTIOQUIA,ABEJORRAL,DUQUE MARQUEZ IVAN,FAJARDO VALDERRAMA SERGIO,4580.0,1097.0,72.46835443037975,17.35759493670886,6320.0,3483.0,55.110759493670884
ANTIOQUIA,ABRIAQUI,DUQUE MARQUEZ IVAN,FAJARDO VALDERRAMA SERGIO,828.0,89.0,85.01026694045176,9.137577002053387,974.0,739.0,75.87268993839837
ANTIOQUIA,ALEJANDRIA,DUQUE MARQUEZ IVAN,FAJARDO VALDERRAMA SERGIO,1513.0,312.0,71.16650987770461,14.675446848541862,2126.0,1201.0,56.49106302916275
ANTIOQUIA,AMAGA,DUQUE MARQUEZ IVAN,FAJARDO VALDERRAMA SERGIO,5470.0,3298.0,54.585370721484885,32.910887137012274,10021.0,2172.0,21.67448358447261
ANTIOQUIA,AMALFI,DUQUE MARQUEZ IVAN,FAJARDO VALDERRAMA SERGIO,3354.0,1639.0,58.79053461875547,28.729184925503944,5705.0,1715.0,30.06134969325153
ANTIOQUIA,ANDES,DUQUE MARQUEZ IVAN,FAJARDO VALDERRAMA SERGIO,9743.0,2748.0,65.15313628460613,18.376354152735054,14954.0,6995.0,46.77678213187108
ANTIOQUIA,ANGELOPOLIS,DUQUE MARQUEZ IVAN,FAJARDO VALDERRAMA SERGIO,1717.0,485.0,69.85353946297803,19.731489015459726,2458.0,1232.0,50.122050447518305
ANTIOQUIA,ANGOSTURA,DUQUE MARQUEZ IVAN,FAJARDO VALDERRAMA SERGIO,1841.0,634.0,67.55963302752293,23.26605504587156,2725.0,1207.0,44.293577981651374
ANTIOQUIA,ANORI,DUQUE MARQUEZ IVAN,FAJARDO VALDERRAMA SERGIO,1394.0,805.0,48.06896551724138,27.75862068965517,2900.0,589.0,20.31034482758621
ANTIOQUIA,ANZA,DUQUE MARQUEZ IVAN,FAJARDO VALDERRAMA SERGIO,1872.0,269.0,78.65546218487395,11.302521008403362,2380.0,1603.0,67.3529411764706
ANTIOQUIA,APARTADO,PETRO URREGO GUSTAVO FRANCISCO,DUQUE MARQUEZ IVAN,16767.0,15293.0,40.820450395617776,37.231892878880096,41075.0,1474.0,3.58855751673768
