departamento,municipio,ganador,segundo,votos_ganador,votos_segundo,margen_votos,total_top_2,margen_porcentual
AMAZONAS,EL ENCANTO,PETRO URREGO GUSTAVO FRANCISCO,DUQUE MARQUEZ IVAN,190.0,50.0,140.0,240.0,58.333333333333336
AMAZONAS,LA CHORRERA,PETRO URREGO GUSTAVO FRANCISCO,DUQUE MARQUEZ IVAN,470.0,44.0,426.0,514.0,82.87937743190662
AMAZONAS,LA PEDRERA,PETRO URREGO GUSTAVO FRANCISCO,VARGAS LLERAS GERMAN,150.0,29.0,121.0,179.0,67.59776536312849
AMAZONAS,LA VICTORIA,PETRO URREGO GUSTAVO FRANCISCO,DUQUE MARQUEZ IVAN,14.0,2.0,12.0,16.0,75.0
AMAZONAS,LETICIA,DUQUE MARQUEZ IVAN,PETRO URREGO GUSTAVO FRANCISCO,6144.0,3821.0,2323.0,9965.0,23.311590566984446
AMAZONAS,MIRITI  PARANA,PETRO URREGO GUSTAVO FRANCISCO,DE LA CALLE LOMBANA HUMBERTO,59.0,7.0,52.0,66.0,78.78787878787878
AMAZONAS,PUERTO ALEGRIA,DUQUE MARQUEZ IVAN,PETRO URREGO GUSTAVO FRANCISCO,34.0,31.0,3.0,65.0,4.615384615384616
AMAZONAS,PUERTO ARICA,PETRO URREGO GUSTAVO FRANCISCO,DUQUE MARQUEZ IVAN,98.0,32.0,66.0,130.0,50.76923076923077
AMAZONAS,PUERTO NARINO,PETRO URREGO GUSTAVO FRANCISCO,DUQUE MARQUEZ IVAN,839.0,651.0,188.0,1490.0,12.61744966442953
AMAZONAS,PUERTO SANTANDER,PETRO URREGO GUSTAVO FRANCISCO,VARGAS LLERAS GERMAN,85.0,47.0,38.0,132.0,28.78787878787879
AMAZONAS,TARAPACA,PETRO URREGO GUSTAVO FRANCISCO,DUQUE MARQUEZ IVAN,174.0,95.0,79.0,269.0,29.36802973977695
ANTIOQUIA,ABEJORRAL,DUQUE MARQUEZ IVAN,FAJARDO VALDERRAMA SERGIO,4580.0,1097.0,3483.0,5677.0,61.35282719746344
ANTIOQUIA,ABRIAQUI,DUQUE MARQUEZ IVAN,FAJARDO VALDERRAMA SERGIO,828.0,89.0,739.0,917.0,80.58887677208287
ANTIOQUIA,ALEJANDRIA,DUQUE MARQUEZ IVAN,FAJARDO VALDERRAMA SERGIO,1513.0,312.0,1201.0,1825.0,65.8082191780822
ANTIOQUIA,AMAGA,DUQUE MARQUEZ IVAN,FAJARDO VALDERRAMA SERGIO,5470.0,3298.0,2172.0,8768.0,24.77189781021898
ANTIOQUIA,AMALFI,DUQUE MARQUEZ IVAN,FAJARDO VALDERRAMA SERGIO,3354.0,1639.0,1715.0,4993.0,34.34808732225115
ANTIOQUIA,ANDES,DUQUE MARQUEZ IVAN,FAJARDO VALDERRAMA SERGIO,9743.0,2748.0,6995.0,12491.0,56.000320230566004
ANTIOQUIA,ANGELOPOLIS,DUQUE MARQUEZ IVAN,FAJARDO VALDERRAMA SERGIO,1717.0,485.0,1232.0,2202.0,55.949137148047235
ANTIOQUIA,ANGOSTURA,DUQUE MARQUEZ IVAN,FAJARDO VALDERRAMA SERGIO,1841.0,634.0,1207.0,2475.0,48.76767676767677
ANTIOQUIA,ANORI,DUQUE MARQUEZ IVAN,FAJARDO VALDERRAMA SERGIO,1394.0,805.0,589.0,2199.0,26.784902228285585
ANTIOQUIA,ANZA,DUQUE MARQUEZ IVAN,FAJARDO VALDERRAMA SERGIO,1872.0,269.0,1603.0,2141.0,74.87155534796824
ANTIOQUIA,APARTADO,PETRO URREGO GUSTAVO FRANCISCO,DUQUE MARQUEZ IVAN,16767.0,15293.0,1474.0,32060.0,4.597629444791017
ANTIOQUIA,ARBOLETES,DUQUE MARQUEZ IVAN,PETRO URREGO GUSTAVO FRANCISCO,4372.0,2788.0,1584.0,7160.0,22.12290502793296
ANTIOQUIA,ARGELIA,DUQUE MARQUEZ IVAN,FAJARDO VALDERRAMA SERGIO,2670.0,134.0,2536.0,2804.0,90.44222539229672
ANTIOQUIA,ARMENIA,DUQUE MARQUEZ IVAN,FAJARDO VALDERRAMA SERGIO,1295.0,193.0,1102.0,1488.0,74.05913978494624
ANTIOQUIA,BARBOSA,DUQUE MARQUEZ IVAN,FAJARDO VALDERRAMA SERGIO,10196.0,6873.0,3323.0,17069.0,19.468041478704084
ANTIOQUIA,BELLO,DUQUE MARQUEZ IVAN,FAJARDO VALDERRAMA SERGIO,87141.0,62919.0,24222.0,150060.0,16.14154338264694
ANTIOQUIA,BELMIRA,DUQUE MARQUEZ IVAN,FAJARDO VALDERRAMA SERGIO,1321.0,540.0,781.0,1861.0,41.966684578183774
