departamento,municipio,candidato,votos,total_votos_candidatos,porcentaje_municipal
AMAZONAS,EL ENCANTO,DE LA CALLE LOMBANA HUMBERTO,8,303,2.6402640264026402
AMAZONAS,EL ENCANTO,DUQUE MARQUEZ IVAN,50,303,16.5016501650165
AMAZONAS,EL ENCANTO,FAJARDO VALDERRAMA SERGIO,14,303,4.62046204620462
AMAZONAS,EL ENCANTO,MORALES HOYOS VIVIANE ALEIDA,1,303,0.33003300330033003
AMAZONAS,EL ENCANTO,PETRO URREGO GUSTAVO FRANCISCO,190,303,62.70627062706271
AMAZONAS,EL ENCANTO,TRUJILLO SARMIENTO JORGE ANTONIO,1,303,0.33003300330033003
AMAZONAS,EL ENCANTO,VARGAS LLERAS GERMAN,39,303,12.871287128712872
AMAZONAS,LA CHORRERA,DE LA CALLE LOMBANA HUMBERTO,7,555,1.2612612612612613
AMAZONAS,LA CHORRERA,DUQUE MARQUEZ IVAN,44,555,7.927927927927928
AMAZONAS,LA CHORRERA,FAJARDO VALDERRAMA SERGIO,15,555,2.7027027027027026
AMAZONAS,LA CHORRERA,PETRO URREGO GUSTAVO FRANCISCO,470,555,84.68468468468468
AMAZONAS,LA CHORRERA,VARGAS LLERAS GERMAN,19,555,3.423423423423423
AMAZONAS,LA PEDRERA,DE LA CALLE LOMBANA HUMBERTO,9,229,3.9301310043668125
AMAZONAS,LA PEDRERA,DUQUE MARQUEZ IVAN,21,229,9.170305676855897
AMAZONAS,LA PEDRERA,FAJARDO VALDERRAMA SERGIO,20,229,8.73362445414847
AMAZONAS,LA PEDRERA,PETRO URREGO GUSTAVO FRANCISCO,150,229,65.50218340611353
AMAZONAS,LA PEDRERA,VARGAS LLERAS GERMAN,29,229,12.663755458515283
AMAZONAS,LA VICTORIA,DE LA CALLE LOMBANA HUMBERTO,1,18,5.555555555555555
AMAZONAS,LA VICTORIA,DUQUE MARQUEZ IVAN,2,18,11.11111111111111
AMAZONAS,LA VICTORIA,FAJARDO VALDERRAMA SERGIO,1,18,5.555555555555555
AMAZONAS,LA VICTORIA,PETRO URREGO GUSTAVO FRANCISCO,14,18,77.77777777777779
AMAZONAS,LETICIA,DE LA CALLE LOMBANA HUMBERTO,652,14123,4.616582878991716
AMAZONAS,LETICIA,DUQUE MARQUEZ IVAN,6144,14123,43.50350492105077
AMAZONAS,LETICIA,FAJARDO VALDERRAMA SERGIO,2523,14123,17.864476386036962
AMAZONAS,LETICIA,MORALES HOYOS VIVIANE ALEIDA,44,14123,0.31154853784606673
AMAZONAS,LETICIA,PETRO URREGO GUSTAVO FRANCISCO,3821,14123,27.055158252495932
AMAZONAS,LETICIA,TRUJILLO SARMIENTO JORGE ANTONIO,73,14123,0.5168873468809743
AMAZONAS,LETICIA,VARGAS LLERAS GERMAN,866,14123,6.131841676697586
AMAZONAS,MIRITI  PARANA,DE LA CALLE LOMBANA HUMBERTO,7,77,9.090909090909092
AMAZONAS,MIRITI  PARANA,DUQUE MARQUEZ IVAN,4,77,5.194805194805195
AMAZONAS,MIRITI  PARANA,FAJARDO VALDERRAMA SERGIO,2,77,2.5974025974025974
AMAZONAS,MIRITI  PARANA,PETRO URREGO GUSTAVO FRANCISCO,59,77,76.62337662337663
AMAZONAS,MIRITI  PARANA,VARGAS LLERAS GERMAN,5,77,6.493506493506493
