departamento,municipio,votos
BOGOTA DC,BOGOTA DC,3705960
ANTIOQUIA,MEDELLIN,1009878
VALLE DEL CAUCA,CALI,883217
ATLANTICO,BARRANQUILLA,501970
NORTE DE SANTANDER,SAN JOSE DE CUCUTA,320722
SANTANDER,BUCARAMANGA,306948
BOLIVAR,CARTAGENA DE INDIAS,304264
TOLIMA,IBAGUE,255315
RISARALDA,PEREIRA,234395
META,VILLAVICENCIO,225253
CALDAS,MANIZALES,208805
ANTIOQUIA,BELLO,185544
MAGDALENA,SANTA MARTA,170079
NARINO,PASTO,165889
CORDOBA,MONTERIA,162884
HUILA,NEIVA,156239
CESAR,VALLEDUPAR,152118
CUNDINAMARCA,SOACHA,151985
ANTIOQUIA,ENVIGADO,151487
QUINDIO,ARMENIA,148610
ANTIOQUIA,ITAGUI,144413
VALLE DEL CAUCA,PALMIRA,138208
CAUCA,POPAYAN,137183
SANTANDER,FLORIDABLANCA,129101
ATLANTICO,SOLEDAD,121417
CONSULADOS,ESTADOS UNIDOS,112815
SUCRE,SINCELEJO,107787
SANTANDER,BARRANCABERMEJA,99139
RISARALDA,DOSQUEBRADAS,94904
VALLE DEL CAUCA,TULUA,88304
VALLE DEL CAUCA,BUENAVENTURA,87362
BOYACA,TUNJA,82722
CASANARE,YOPAL,73818
ANTIOQUIA,RIONEGRO,71814
SANTANDER,GIRON,71190
SANTANDER,PIEDECUESTA,70905
CAQUETA,FLORENCIA,67718
CUNDINAMARCA,CHIA,66474
CUNDINAMARCA,FACATATIVA,63969
CUNDINAMARCA,FUSAGASUGA,63732
CUNDINAMARCA,ZIPAQUIRA,60968
BOYACA,SOGAMOSO,60309
BOYACA,DUITAMA,59110
VALLE DEL CAUCA,CARTAGO,57823
VALLE DEL CAUCA,GUADALAJARA DE BUGA,57616
HUILA,PITALITO,52416
VALLE DEL CAUCA,JAMUNDI,52272
VALLE DEL CAUCA,YUMBO,51741
CUNDINAMARCA,MOSQUERA,49645
LA GUAJIRA,RIOHACHA,49327
CUNDINAMARCA,GIRARDOT,48377
NARINO,SAN ANDRES DE TUMACO,47813
ANTIOQUIA,SABANETA,47259
CUNDINAMARCA,FUNZA,47063
CUNDINAMARCA,MADRID,44317
NORTE DE SANTANDER,OCANA,43863
CORDOBA,LORICA,43813
ANTIOQUIA,APARTADO,43472
META,ACACIAS,43036
BOLIVAR,MAGANGUE,42826
NARINO,IPIALES,41858
CAUCA,SANTANDER DE QUILICHAO,41827
NORTE DE SANTANDER,LOS PATIOS,40917
CESAR,AGUACHICA,40134
NORTE DE SANTANDER,VILLA DEL ROSARIO,39752
CORDOBA,SAHAGUN,39655
CORDOBA,CERETE,38817
ANTIOQUIA,CALDAS,38672
LA GUAJIRA,MAICAO,38399
ATLANTICO,MALAMBO,38185
ANTIOQUIA,COPACABANA,37753
RISARALDA,SANTA ROSA DE CABAL,36683
VALLE DEL CAUCA,CANDELARIA,36340
ARAUCA,ARAUCA,35774
ATLANTICO,SABANALARGA,35649
CHOCO,QUIBDO,35499
MAGDALENA,CIENAGA,35224
CONSULADOS,VENEZUELA,35007
TOLIMA,ESPINAL,34780
CUNDINAMARCA,CAJICA,34702
ANTIOQUIA,TURBO,34615
QUINDIO,CALARCA,34533
